id,year,decade,rank,title,artist,title_norm,artist_norm,source,url,word_count
6597,1965,1960,64,It's Not Unusual,Tom Jones,its not unusual,tom jones,azlyrics,https://www.azlyrics.com/lyrics/tomjones/itsnotunusual.html,137.0
6598,1965,1960,65,She's About a Mover,Sir Douglas Quintet,shes about a mover,sir douglas quintet,genius,https://genius.com/Sir-douglas-quintet-shes-about-a-mover-lyrics,156.0
6599,1965,1960,66,Shake,Sam Cooke,shake,sam cooke,genius,https://genius.com/Sam-cooke-shake-lyrics,282.0
6600,1965,1960,67,Wonderful World,Herman's Hermits,wonderful world,hermans hermits,genius,https://genius.com/Hermans-hermits-wonderful-world-lyrics,193.0
6601,1965,1960,68,Nowhere to Run,Martha and the Vandellas,nowhere to run,martha and the vandellas,genius,https://genius.com/Martha-reeves-and-the-vandellas-nowhere-to-run-lyrics,353.0
6602,1965,1960,69,Heart Full of Soul,The Yardbirds,heart full of soul,the yardbirds,genius,https://genius.com/The-yardbirds-heart-full-of-soul-lyrics,152.0
6603,1965,1960,70,Love Potion No. 9,The Searchers,love potion no 9,the searchers,azlyrics,https://www.azlyrics.com/lyrics/searchers/lovepotionno9.html,210.0
6604,1965,1960,71,Laurie (Strange Things Happen),Dickey Lee,laurie strange things happen,dickey lee,genius,https://genius.com/Dickey-lee-laurie-strange-things-happen-lyrics,178.0
6605,1965,1960,72,Baby Don't Go,Sonny & Cher,baby dont go,sonny cher,genius,https://genius.com/Sonny-and-cher-baby-dont-go-lyrics,163.0
6606,1965,1960,73,It Ain't Me Babe,The Turtles,it aint me babe,the turtles,genius,https://genius.com/The-turtles-it-aint-me-babe-lyrics,202.0
6607,1965,1960,74,Tell Her No,The Zombies,tell her no,the zombies,azlyrics,https://www.azlyrics.com/lyrics/zombies/tellherno.html,169.0
6608,1965,1960,75,I Go to Pieces,Peter and Gordon,i go to pieces,peter and gordon,genius,https://genius.com/Peter-and-gordon-i-go-to-pieces-lyrics,213.0
6609,1965,1960,76,Red Roses for a Blue Lady,Vic Dana,red roses for a blue lady,vic dana,genius,https://genius.com/Vic-dana-red-roses-for-a-blue-lady-lyrics,139.0
6610,1965,1960,77,Don't Just Stand There,Patty Duke,dont just stand there,patty duke,genius,https://genius.com/Patty-duke-dont-just-stand-there-lyrics,198.0
6611,1965,1960,78,The Tracks of My Tears,The Miracles,the tracks of my tears,the miracles,genius,https://genius.com/Smokey-robinson-and-the-miracles-the-tracks-of-my-tears-lyrics,268.0
6612,1965,1960,79,Too Many Rivers,Brenda Lee,too many rivers,brenda lee,genius,https://genius.com/Brenda-lee-too-many-rivers-lyrics,135.0
6613,1965,1960,80,I Like It Like That,The Dave Clark Five,i like it like that,the dave clark five,genius,https://genius.com/The-dave-clark-five-i-like-it-like-that-lyrics,307.0
6614,1965,1960,81,Little Things,Bobby Goldsboro,little things,bobby goldsboro,genius,https://genius.com/Bobby-goldsboro-little-things-lyrics,208.0
6615,1965,1960,82,True Love Ways,Peter and Gordon,true love ways,peter and gordon,genius,https://genius.com/Peter-and-gordon-true-love-ways-lyrics,106.0
6616,1965,1960,83,It's the Same Old Song,Four Tops,its the same old song,four tops,genius,https://genius.com/The-four-tops-its-the-same-old-song-lyrics,332.0
6617,1965,1960,84,You've Got Your Troubles,The Fortunes,youve got your troubles,the fortunes,genius,https://genius.com/The-fortunes-uk-group-youve-got-your-troubles-lyrics,192.0
6618,1965,1960,85,Hold What You've Got,Joe Tex,hold what youve got,joe tex,genius,https://genius.com/Joe-tex-hold-what-youve-got-lyrics,682.0
6619,1965,1960,86,We Gotta Get Out of This Place,The Animals,we gotta get out of this place,the animals,genius,https://genius.com/The-animals-we-gotta-get-out-of-this-place-lyrics,260.0
6620,1965,1960,87,"Laugh, Laugh",The Beau Brummels,laugh laugh,the beau brummels,genius,https://genius.com/The-beau-brummels-laugh-laugh-lyrics,290.0
6621,1965,1960,88,The Last Time,The Rolling Stones,the last time,the rolling stones,azlyrics,https://www.azlyrics.com/lyrics/rollingstones/thelasttime.html,240.0
6622,1965,1960,89,Do You Believe in Magic,The Lovin' Spoonful,do you believe in magic,the lovin spoonful,genius,https://genius.com/The-lovin-spoonful-do-you-believe-in-magic-lyrics,252.0
6623,1965,1960,90,All I Really Want to Do,Cher,all i really want to do,cher,genius,https://genius.com/Cher-all-i-really-want-to-do-lyrics,210.0
6624,1965,1960,91,Take Me Back,Little Anthony and the Imperials,take me back,little anthony and the imperials,genius,https://genius.com/Little-anthony-and-the-imperials-take-me-back-lyrics,166.0
6625,1965,1960,92,I Want Candy,The Strangeloves,i want candy,the strangeloves,genius,https://genius.com/The-strangeloves-i-want-candy-lyrics,122.0
6626,1965,1960,93,Ooo Baby Baby,The Miracles,ooo baby baby,the miracles,genius,https://genius.com/The-miracles-ooo-baby-baby-lyrics,109.0
6627,1965,1960,94,Laugh at Me,Sonny,laugh at me,sonny,genius,https://genius.com/Sonny-and-cher-laugh-at-me-lyrics,210.0
6628,1965,1960,95,Treat Her Right,Roy Head,treat her right,roy head,genius,https://genius.com/Roy-head-treat-her-right-lyrics,133.0
6629,1965,1960,96,The Race Is On,Jack Jones,the race is on,jack jones,genius,https://genius.com/Jack-jones-the-race-is-on-lyrics,232.0
6630,1965,1960,97,I'm a Fool,"Dino, Desi & Billy",im a fool,dino desi billy,genius,https://genius.com/Dino-desi-and-billy-im-a-fool-lyrics,198.0
6631,1965,1960,98,The Boy from New York City,The Ad Libs,the boy from new york city,the ad libs,genius,https://genius.com/The-ad-libs-funk-soul-group-the-boy-from-new-york-city-lyrics,284.0
6632,1965,1960,99,Keep Searchin' (We'll Follow the Sun),Del Shannon,keep searchin well follow the sun,del shannon,genius,https://genius.com/Del-shannon-keep-searchin-well-follow-the-sun-lyrics,178.0
6633,1965,1960,100,How Sweet It Is (To Be Loved by You),Marvin Gaye,how sweet it is to be loved by you,marvin gaye,genius,https://genius.com/Marvin-gaye-how-sweet-it-is-to-be-loved-by-you-lyrics,270.0
6634,1966,1960,1,California Dreamin',The Mamas & the Papas,california dreamin,the mamas the papas,genius,https://genius.com/The-mamas-and-the-papas-california-dreamin-lyrics,206.0
6635,1966,1960,2,96 Tears,? and the Mysterians,96 tears,and the mysterians,genius,https://genius.com/And-the-mysterians-96-tears-lyrics,207.0
6636,1966,1960,3,What Becomes of the Brokenhearted,Jimmy Ruffin,what becomes of the brokenhearted,jimmy ruffin,azlyrics,https://www.azlyrics.com/lyrics/jimmyruffin/whatbecomesofthebrokenhearted.html,219.0
6637,1966,1960,4,Last Train to Clarksville,The Monkees,last train to clarksville,the monkees,genius,https://genius.com/The-monkees-last-train-to-clarksville-lyrics,239.0
6638,1966,1960,5,Reach Out I'll Be There,Four Tops,reach out ill be there,four tops,azlyrics,https://www.azlyrics.com/lyrics/fourtops/reachoutillbethere.html,298.0
6639,1966,1960,6,These Boots Are Made for Walkin',Nancy Sinatra,these boots are made for walkin,nancy sinatra,genius,https://genius.com/Nancy-sinatra-these-boots-are-made-for-walkin-lyrics,181.0
6640,1966,1960,7,Cherish,The Association,cherish,the association,genius,https://genius.com/The-association-cherish-lyrics,342.0
6641,1966,1960,8,Strangers in the Night,Frank Sinatra,strangers in the night,frank sinatra,azlyrics,https://www.azlyrics.com/lyrics/franksinatra/strangersinthenight.html,145.0
6642,1966,1960,9,Kicks,Paul Revere & the Raiders,kicks,paul revere the raiders,genius,https://genius.com/Paul-revere-and-the-raiders-kicks-lyrics,288.0
6643,1966,1960,10,The Ballad of the Green Berets,SSgt Barry Sadler,the ballad of the green berets,ssgt barry sadler,genius,https://genius.com/Ssgt-barry-sadler-the-ballad-of-the-green-berets-lyrics,148.0
6644,1966,1960,11,Good Lovin',The Young Rascals,good lovin,the young rascals,genius,https://genius.com/The-young-rascals-good-lovin-lyrics,208.0
6645,1966,1960,12,(You're My) Soul and Inspiration,The Righteous Brothers,youre my soul and inspiration,the righteous brothers,genius,https://genius.com/The-righteous-brothers-youre-my-soul-and-inspiration-lyrics,208.0
6646,1966,1960,13,You Can't Hurry Love,The Supremes,you cant hurry love,the supremes,azlyrics,https://www.azlyrics.com/lyrics/supremes/youcanthurrylove.html,327.0
6647,1966,1960,14,Sunny,Bobby Hebb,sunny,bobby hebb,genius,https://genius.com/Bobby-hebb-sunny-lyrics,230.0
6648,1966,1960,15,See You in September,The Happenings,see you in september,the happenings,genius,https://genius.com/The-happenings-see-you-in-september-lyrics,196.0
6649,1966,1960,16,Li'l Red Riding Hood,Sam the Sham and the Pharaohs,lil red riding hood,sam the sham and the pharaohs,genius,https://genius.com/Sam-the-sham-and-the-pharaohs-lil-red-riding-hood-lyrics,277.0
